Date,Name,Year,Letterboxd URI,Rating
2023-02-06,Mars One,2022,https://boxd.it/yoPa,4.5
2023-02-06,Mister Johnson,1990,https://boxd.it/44Pk,0.5
2023-02-09,The Girls,1968,https://boxd.it/4mK8,4
2023-02-10,Before Sunrise,1995,https://boxd.it/2bcU,2
2023-02-10,The Daytrippers,1996,https://boxd.it/F9i,2.5
2023-02-11,Dragon Inn,1967,https://boxd.it/3xGa,4
2023-02-11,House,1977,https://boxd.it/1vsm,4.5
2023-02-13,Parasite,2019,https://boxd.it/hTha,3.5
2023-02-14,Free Guy,2021,https://boxd.it/k8dm,0.5
2023-02-15,Boyz n the Hood,1991,https://boxd.it/29Ug,4
2023-02-15,A Tale of Two Sisters,2003,https://boxd.it/248m,3
2023-02-21,Time,2020,https://boxd.it/oiOA,3
2023-02-23,Saint Omer,2022,https://boxd.it/yShC,4.5
2023-02-25,I Saw the Devil,2010,https://boxd.it/FaK,2
2023-02-27,The Kid,1921,https://boxd.it/1X5U,3.5
2023-02-27,Watermelon Man,1970,https://boxd.it/WuM,4
2023-03-01,City Lights,1931,https://boxd.it/29ki,4
2023-03-09,Ratatouille,2007,https://boxd.it/27ww,4.5
2023-03-10,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2023-03-15,Bacurau,2019,https://boxd.it/fSUG,3.5
2023-03-24,Jojo Rabbit,2019,https://boxd.it/iEBG,3.5
2023-03-25,My Dinner with Andre,1981,https://boxd.it/1vLe,4.5
2023-03-29,The Innocents,2021,https://boxd.it/oAlc,0.5
2023-04-01,The Housemaid,1960,https://boxd.it/WJs,3
2023-04-05,Forrest Gump,1994,https://boxd.it/728,3.5
2023-04-05,Back to the Future,1985,https://boxd.it/2b8e,3
2023-04-05,Back to the Future Part II,1989,https://boxd.it/2aYI,3
2023-04-05,Back to the Future Part III,1990,https://boxd.it/2aTS,2.5
2023-04-05,The Polar Express,2004,https://boxd.it/23am,2.5
2023-04-05,Decision to Leave,2022,https://boxd.it/qp9e,5
2023-04-06,Gone Girl,2014,https://boxd.it/6hQu,4
2023-04-08,Licorice Pizza,2021,https://boxd.it/qTKY,3
2023-04-09,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,2.5
2023-04-10,Grindhouse,2007,https://boxd.it/8RwY,2.5
2023-04-10,Planet Terror,2007,https://boxd.it/27Gw,2
2023-04-10,Death Proof,2007,https://boxd.it/27GG,2.5
2023-04-11,Hamilton,2020,https://boxd.it/kmvE,1
2023-04-11,Mad God,2021,https://boxd.it/vVPm,3
2023-04-11,All the Bright Places,2020,https://boxd.it/bpfQ,1.5
2023-04-11,To All the Boys: P.S. I Still Love You,2020,https://boxd.it/kJny,2
2023-04-11,Baywatch,2017,https://boxd.it/biG6,1
2023-04-11,Comrade Kim Goes Flying,2012,https://boxd.it/4bu4,3
2023-04-11,Jack and Jill,2011,https://boxd.it/2pQu,1
2023-04-11,The Hunger Games,2012,https://boxd.it/2uds,0.5
2023-04-11,Tooth Fairy,2010,https://boxd.it/1zKE,1.5
2023-04-11,Project X,2012,https://boxd.it/neO,0.5
2023-04-11,Scary Movie 4,2006,https://boxd.it/24B4,2
2023-04-11,Scary Movie,2000,https://boxd.it/24CG,1
2023-04-11,The Smiling Madame Beudet,1923,https://boxd.it/G28,3
2023-04-11,Black Girl,1966,https://boxd.it/3jIQ,3
2023-04-11,Ethnic Notions,1986,https://boxd.it/4FLO,3
2023-04-11,Black Panthers,1968,https://boxd.it/4BCe,2
2023-04-11,Natural Born Killers,1994,https://boxd.it/2aNg,1.5
2023-04-11,Beau Travail,1999,https://boxd.it/1NI8,2.5
2023-04-11,Herbie Fully Loaded,2005,https://boxd.it/1TP0,1
2023-04-11,Madagascar,2005,https://boxd.it/29dc,0.5
2023-04-11,Mean Girls,2004,https://boxd.it/1VNg,3
2023-04-11,Shrek,2001,https://boxd.it/29zi,3.5
2023-04-11,La Ciénaga,2001,https://boxd.it/kpk,2.5
2023-04-11,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3
2023-04-11,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,3.5
2023-04-11,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,3
2023-04-11,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,2
2023-04-11,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,1.5
2023-04-11,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,2
2023-04-11,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,2
2023-04-11,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/1Yeo,1.5
2023-04-11,Monster House,2006,https://boxd.it/1Z2e,2.5
2023-04-11,Happy Feet,2006,https://boxd.it/1XH0,1.5
2023-04-11,Flushed Away,2006,https://boxd.it/1Tpm,2.5
2023-04-11,Spider-Man 3,2007,https://boxd.it/2a7Y,1
2023-04-11,I Now Pronounce You Chuck & Larry,2007,https://boxd.it/25cE,1.5
2023-04-11,The Simpsons Movie,2007,https://boxd.it/6YU,2.5
2023-04-11,Bee Movie,2007,https://boxd.it/22Vw,1
2023-04-11,Meet Dave,2008,https://boxd.it/1Uf8,0.5
2023-04-11,Journey to the Center of the Earth,2008,https://boxd.it/38EI,2.5
2023-04-11,Superhero Movie,2008,https://boxd.it/1SM0,2
2023-04-11,Paranormal Activity,2007,https://boxd.it/1yIM,0.5
2023-04-11,The Game Plan,2007,https://boxd.it/1PDY,1.5
2023-04-11,Monsters vs Aliens,2009,https://boxd.it/1M50,2.5
2023-04-11,Zombieland,2009,https://boxd.it/1En6,0.5
2023-04-11,Hancock,2008,https://boxd.it/1Zv6,1
2023-04-11,Night at the Museum,2006,https://boxd.it/28wi,1.5
2023-04-11,White Chicks,2004,https://boxd.it/1SpK,2.5
2023-04-11,DodgeBall: A True Underdog Story,2004,https://boxd.it/1YAY,1
2023-04-11,Corpse Bride,2005,https://boxd.it/24WQ,3.5
2023-04-12,Green Lantern,2011,https://boxd.it/QN4,0.5
2023-04-12,Star Wars,1977,https://boxd.it/72s,3
2023-04-12,The Empire Strikes Back,1980,https://boxd.it/27Vw,3
2023-04-12,Return of the Jedi,1983,https://boxd.it/27Vm,3
2023-04-12,X-Men Origins: Wolverine,2009,https://boxd.it/27ug,2
2023-04-12,The Wolverine,2013,https://boxd.it/2CWU,2
2023-04-12,Bridge to Terabithia,2007,https://boxd.it/28YG,3.5
2023-04-12,Judas and the Black Messiah,2021,https://boxd.it/lsew,3
